Westfield State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22 12:00 AM : 1 Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway
,"Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date & Time,Barometer - in Hg,Temp - °F,High Temp - °F,Low Temp - °F,Hum - %,Dew Point - °F,Wet Bulb - °F,Wind Speed - mph,Wind Direction,Wind Run - mi,High Wind Speed - mph,High Wind Direction,Wind Chill - °F,Heat Index - °F,THW Index - °F,THSW Index - °F,Rain - in,Rain Rate - in/h,Solar Rad - W/m^2,Solar Energy - Ly,High Solar Rad - W/m^2,ET - in,UV Index,UV Dose - MEDs,High UV Index,Heating Degree Days,Cooling Degree Days,2nd Temp - °F
3/28/22 0:00,29.8,25,26,25,57,12,21,9,W,4.5,29,WSW,16,25,15,11,0,0,0,0,0,0,0,0,0,0.827,0,27
3/28/22 0:30,29.81,25,25,25,57,12,20,9,W,4.5,25,W,16,25,15,11,0,0,0,0,0,0,0,0,0,0.831,0,26
3/28/22 1:00,29.81,25,25,25,54,10,20,8,W,4,25,WSW,16,24,15,11,0,0,0,0,0,0,0,0,0,0.84,0,26
3/28/22 1:30,29.81,24,25,24,52,9,19,11,W,5.5,38,WSW,14,24,13,9,0,0,0,0,0,0,0,0,0,0.844,0,26
3/28/22 2:00,29.81,24,24,24,49,8,18,12,W,6,29,W,13,24,12,8,0,0,0,0,0,0,0,0,0,0.85,0,25
3/28/22 2:30,29.81,24,24,24,49,7,18,10,W,5,26,WSW,13,23,13,9,0,0,0,0,0,0,0,0,0,0.86,0,25
3/28/22 3:00,29.81,23,24,23,47,6,17,11,W,5.5,28,W,12,23,12,8,0,0,0,0,0,0,0,0,0,0.867,0,25
3/28/22 3:30,29.81,23,23,23,48,6,17,10,W,5,23,WSW,13,22,12,8,0,0,0,0,0,0,0,0,0,0.873,0,24
